Precision,Recall
0.37149138,0.994233778
0.371926413,0.994156258
0.372371907,0.994083514
0.372815948,0.994010036
0.373260132,0.993934353
0.373708769,0.993861609
0.374154594,0.993780415
0.374609119,0.993708407
0.375057395,0.993628315
0.375510775,0.993558143
0.375966081,0.993473276
0.376416325,0.993395021
0.376869315,0.993306847
0.377327558,0.993229694
0.377785564,0.993146296
0.378246194,0.993072083
0.378709161,0.992990155
0.379168371,0.992900511
0.379631167,0.992821154
0.380093714,0.992737021
0.380556507,0.992645908
0.381020272,0.992559203
0.38148636,0.992472866
0.381955094,0.992389101
0.382426493,0.992302029
0.38289728,0.992218998
0.383366931,0.992125313
0.383835443,0.992027587
0.384304835,0.991935004
0.38477973,0.991843523
0.385251359,0.991750573
0.385725165,0.991643294
0.386205,0.991552916
0.386684969,0.991465844
0.387166223,0.991376935
0.387644634,0.991282883
0.388124667,0.991182584
0.388603451,0.991075673
0.389088699,0.990975375
0.389575864,0.990884629
0.390060201,0.990783229
0.390549083,0.990692483
0.391040229,0.990587041
0.391527801,0.990481967
0.392020025,0.99038718
0.392510015,0.990281371
0.393002295,0.990177399
0.39349155,0.990069386
0.393985279,0.989967251
0.394484272,0.98985887
0.394978692,0.989747917
0.39548082,0.989636598
0.395980782,0.989530789
0.396481601,0.989419469
0.396977459,0.989300801
0.397483383,0.989190216
0.397987964,0.98907412
0.398493565,0.988958391
0.399000751,0.988845602
0.399504327,0.988718484
0.400011922,0.988601653
0.400523045,0.988485925
0.401036257,0.988367992
0.401553504,0.988257039
0.4020671,0.988143883
0.402580298,0.988016765
0.403095978,0.987895893
0.403612371,0.98776951
0.404134498,0.987658925
0.404653535,0.987533644
0.405173073,0.987400648
0.405689456,0.987268754
0.406206148,0.987129145
0.406730008,0.987006069
0.407254166,0.986868296
0.407781019,0.986739709
0.4083112,0.986608183
0.408837752,0.9864818
0.409362009,0.986344028
0.409892321,0.98620699
0.410416302,0.986056359
0.41094499,0.985911607
0.411476389,0.985772733
0.412011122,0.985638634
0.41253945,0.985495719
0.413081249,0.985359784
0.41362223,0.985217235
0.414158613,0.985061828
0.414698332,0.984914137
0.415234455,0.984761669
0.41577355,0.984605527
0.416311267,0.984447916
0.416857475,0.984302061
0.41740356,0.984143715
0.417943956,0.983979858
0.418496557,0.983829595
0.419038114,0.983654348
0.419582005,0.98348792
0.420136938,0.983336187
0.420687436,0.983179678
0.421240401,0.983018025
0.421794291,0.982852698
0.422349221,0.98268627
0.422902888,0.982517269
0.423452147,0.982331736
0.424013247,0.982171553
0.424573415,0.982006594
0.425127049,0.98182253
0.425693095,0.981652795
0.426260839,0.981489306
0.426827955,0.981316999
0.427388559,0.981132568
0.427948884,0.980949606
0.428520199,0.980769217
0.429086608,0.98058846
0.429656854,0.980400722
0.430228654,0.980225843
0.430796086,0.980029656
0.431367925,0.979847797
0.43193504,0.979651609
