Precision,Recall
0,0.9932940906581417
0.01010101,0.9921218421695039
0.02020202,0.9902710315933239
0.03030303,0.9882988276982446
0.04040404,0.9864754348731062
0.050505051,0.984796508
0.060606061,0.983158986
0.070707071,0.9814688073870927
0.080808081,0.9796703542166121
0.090909091,0.9777322996496163
0.101010101,0.9756047725555335
0.111111111,0.9732214072221284
0.121212121,0.9705859827037349
0.131313131,0.9678371315467922
0.141414141,0.9651799994054482
0.151515152,0.9627208290589202
0.161616162,0.9603422930550678
0.171717172,0.957749466
0.181818182,0.9547135893964002
0.191919192,0.9513199346278751
0.202020202,0.9479293510158124
0.212121212,0.9448554966387153
0.222222222,0.942101723
0.232323232,0.9394092052016569
0.242424242,0.9365114193764115
0.252525253,0.9333312380172655
0.262626263,0.9299843956877003
0.272727273,0.9266446460924563
0.282828283,0.9234099162724669
0.292929293,0.9202633967659607
0.303030303,0.9171212398235854
0.313131313,0.9138859258356479
0.323232323,0.9104656274817919
0.333333333,0.9068017857695004
0.343434343,0.9029235670329582
0.353535354,0.8989598051098793
0.363636364,0.8950538268523858
0.373737374,0.8912527066721371
0.383838384,0.8874947859697919
0.393939394,0.8837192280227892
0.404040404,0.8799759166322201
0.414141414,0.876405057
0.424242424,0.8731059652565887
0.434343434,0.87002564
0.444444444,0.8669376577568796
0.454545455,0.8635108757386565
0.464646465,0.8594664004515526
0.474747475,0.8547672884476047
0.484848485,0.849663932
0.494949495,0.8444776279503493
0.505050505,0.8393085599935217
0.515151515,0.8339935493101959
0.525252525,0.8283306484014588
0.535353535,0.8222740274456629
0.545454545,0.8159274054776016
0.555555556,0.8094535345564651
0.565656566,0.8029944189497594
0.575757576,0.7965538750199623
0.585858586,0.7899052935174993
0.595959596,0.7827158903798328
0.606060606,0.7748201844602756
0.616161616,0.7662859641012598
0.626262626,0.7571761429125845
0.636363636,0.7473974609849071
0.646464646,0.7368957197120424
0.656565657,0.725809982
0.666666667,0.7141490410831176
0.676767677,0.7013536559271856
0.686868687,0.6864863810572444
0.696969697,0.6689776599650149
0.707070707,0.6490461774340526
0.717171717,0.6273217672991349
0.727272727,0.6041728123138463
0.737373737,0.5795053874039789
0.747474747,0.5531132885946413
0.757575758,0.5249561860432295
0.767676768,0.49492379771771605
0.777777778,0.4624345428961142
0.787878788,0.4265685249292699
0.797979798,0.3869266397217147
0.808080808,0.34460825738420936
0.818181818,0.3022567971732116
0.828282828,0.2627475061097291
0.838383838,0.2274663208716132
0.848484848,0.19574200295839733
0.858585859,0.1659382838559096
0.868686869,0.1371291620463686
0.878787879,0.10988958312230386
0.888888889,0.085818604
0.898989899,0.066455054
0.909090909,0.052307805944741666
0.919191919,0.042520327
0.929292929,0.035428678
0.939393939,0.029568137
0.949494949,0.024247946752068636
0.95959596,0.019376486711471786
0.96969697,0.015032999620346576
0.97979798,0.011311411831503184
0.98989899,0.008440955
1,0.00682917
