threshold,recall,precision
6.556510925292969e-07,1.0,0.18126678466796875
7.152557373046875e-07,1.0,0.18126755298001174
7.748603820800781e-07,1.0,0.18126985795521977
8.344650268554688e-07,1.0,0.18127708059048087
8.940696716308594e-07,1.0,0.18128384272812129
9.5367431640625e-07,1.0,0.18129367946532052
1.0132789611816406e-06,1.0,0.1813047470707588
1.0728836059570312e-06,1.0,0.18131566228282162
1.1324882507324219e-06,1.0,0.18132796268814924
1.1920928955078125e-06,1.0,0.18133964961914018
1.2516975402832031e-06,1.0,0.1813554908907097
1.3113021850585938e-06,1.0,0.18137133493021015
1.3709068298339844e-06,1.0,0.181387181738367
1.430511474609375e-06,1.0,0.18140226185497219
1.4901161193847656e-06,1.0,0.1814244249433449
1.5497207641601562e-06,1.0,0.18144243644071392
1.6093254089355469e-06,1.0,0.18146507134073742
1.6689300537109375e-06,1.0,0.1814824747972834
1.7285346984863281e-06,1.0,0.1815066603626721
1.7881393432617188e-06,1.0,0.1815299277211534
1.8477439880371094e-06,1.0,0.18155705482092308
1.9073486328125e-06,1.0,0.18158110607452746
1.9669532775878906e-06,1.0,0.1816056264103607
2.0265579223632812e-06,1.0,0.18163077048528647
2.086162567138672e-06,1.0,0.18165329808399694
2.1457672119140625e-06,1.0,0.1816824688240527
2.205371856689453e-06,1.0,0.18171473732515253
2.2649765014648438e-06,1.0,0.18173929376727993
2.3245811462402344e-06,1.0,0.18176617446172966
2.384185791015625e-06,1.0,0.18180635583817328
2.4437904357910156e-06,1.0,0.18183480262559282
2.5033950805664062e-06,1.0,0.18186557846642692
2.562999725341797e-06,1.0,0.18189930466353507
2.6226043701171875e-06,1.0,0.18193180503277362
2.682209014892578e-06,1.0,0.18196911739050886
2.7418136596679688e-06,1.0,0.18200985332370925
2.8014183044433594e-06,1.0,0.182046267783759
2.86102294921875e-06,1.0,0.18207075888998916
2.9206275939941406e-06,1.0,0.18210998938839332
2.9802322387695312e-06,1.0,0.1821476851942556
3.039836883544922e-06,1.0,0.18217825662451673
3.0994415283203125e-06,1.0,0.1822169123568275
3.159046173095703e-06,1.0,0.18224610908123948
3.2186508178710938e-06,1.0,0.1822877461231108
3.2782554626464844e-06,1.0,0.18231945274577796
3.337860107421875e-06,1.0,0.18234961535608024
3.3974647521972656e-06,1.0,0.18239612263977126
3.4570693969726562e-06,1.0,0.1824278669783473
3.516674041748047e-06,1.0,0.1824549517648123
3.5762786865234375e-06,1.0,0.1824882739692358
3.635883331298828e-06,1.0,0.18251662299307767
3.6954879760742188e-06,1.0,0.1825498118848481
3.7550926208496094e-06,1.0,0.18257552988749923
3.814697265625e-06,1.0,0.1826034382197294
3.874301910400391e-06,1.0,0.18263946661291341
3.933906555175781e-06,1.0,0.18266864286965176
3.993511199951172e-06,1.0,0.18269892113899425
4.0531158447265625e-06,1.0,0.18273077097275076
4.112720489501953e-06,1.0,0.18276200708206944
4.172325134277344e-06,1.0,0.182788566172605
4.231929779052734e-06,1.0,0.1828223229774686
4.291534423828125e-06,1.0,0.18285452858504966
4.351139068603516e-06,1.0,0.1828690717276484
4.410743713378906e-06,1.0,0.1828984778346865
4.470348358154297e-06,1.0,0.18292945832328136
4.5299530029296875e-06,1.0,0.18295966657910745
4.589557647705078e-06,1.0,0.182977514485046
4.649162292480469e-06,1.0,0.18301008805976665
4.708766937255859e-06,1.0,0.18304518026651556
4.76837158203125e-06,1.0,0.18306069405729705
4.827976226806641e-06,1.0,0.18309408113025794
4.887580871582031e-06,1.0,0.1831083488042309
4.947185516357422e-06,1.0,0.18314457673441806
5.0067901611328125e-06,1.0,0.18318176055155588
5.066394805908203e-06,1.0,0.18320294795751474
5.125999450683594e-06,1.0,0.18323952738253976
5.185604095458984e-06,1.0,0.18325790110135914
5.245208740234375e-06,1.0,0.18329088881479075
5.304813385009766e-06,1.0,0.18331241577252666
5.364418029785156e-06,1.0,0.18332986103073373
5.424022674560547e-06,1.0,0.1833679063501442
5.4836273193359375e-06,1.0,0.18338709220940833
5.543231964111328e-06,1.0,0.18343066845552838
5.602836608886719e-06,1.0,0.18345112654233606
5.662441253662109e-06,1.0,0.18347237630923913
5.7220458984375e-06,1.0,0.18351520560936152
5.781650543212891e-06,1.0,0.18353662775876586
5.841255187988281e-06,1.0,0.18355474597920587
5.900859832763672e-06,1.0,0.1835969831953264
5.9604644775390625e-06,1.0,0.18361921281885044
6.020069122314453e-06,1.0,0.18364050154586053
6.079673767089844e-06,1.0,0.18368293602695918
6.139278411865234e-06,1.0,0.1837039238899036
6.198883056640625e-06,1.0,0.18372744230565993
6.258487701416016e-06,1.0,0.18374875613767644
6.318092346191406e-06,1.0,0.18377560281347333
6.377696990966797e-06,1.0,0.18382631705184646
6.4373016357421875e-06,1.0,0.18385065718370966
6.496906280517578e-06,1.0,0.18387642681351718
6.556510925292969e-06,1.0,0.18390078021796566
6.616115570068359e-06,1.0,0.18392735492661175
6.67572021484375e-06,1.0,0.18398084398655706
6.735324859619141e-06,1.0,0.18400791687283524
6.794929504394531e-06,1.0,0.18403531451017383
6.854534149169922e-06,1.0,0.18406541380307684
6.9141387939453125e-06,1.0,0.1840937795137977
6.973743438720703e-06,1.0,0.1841262761252635
7.033348083496094e-06,1.0,0.18415259886217428
7.092952728271484e-06,1.0,0.1841792464043742
7.152557373046875e-06,1.0,0.18421002756719504
7.212162017822266e-06,1.0,0.18423796164821682
7.271766662597656e-06,1.0,0.18430068546812742
7.331371307373047e-06,1.0,0.1843337318893365
7.3909759521484375e-06,1.0,0.18436806187246993
7.450580596923828e-06,1.0,0.1844027226935107
7.510185241699219e-06,1.0,0.1844362829660093
7.569789886474609e-06,1.0,0.18447176515956049
7.62939453125e-06,1.0,0.18450646498725123
7.68899917602539e-06,1.0,0.18454579662514844
7.748603820800781e-06,1.0,0.18458084297537783
7.808208465576172e-06,1.0,0.18462036573362572
7.867813110351562e-06,1.0,0.18465910808245758
7.927417755126953e-06,1.0,0.18469324032638804
7.987022399902344e-06,1.0,0.18473217286282126
8.046627044677734e-06,1.0,0.1847716007991207
8.165836334228516e-06,1.0,0.18481152475925264
8.225440979003906e-06,1.0,0.18485338358864414
8.285045623779297e-06,1.0,0.18489574101055345
8.344650268554688e-06,1.0,0.18493811784852496
8.404254913330078e-06,1.0,0.18497827382677368
8.463859558105469e-06,1.0,0.18502068850944092
8.52346420288086e-06,1.0,0.18506504465410056
