epoch,dice
1,0.3500000000183978
2,0.3000000000094284
3,0.30000000000536964
4,0.2500000000631225
5,0.3067610293626785
6,0.3594489336013794
7,0.2752766773104668
8,0.1898152284324169
9,0.20475911911998992
10,0.48647135943174363
11,0.40897188186645506
12,0.44820364117622374
13,0.4504773460328579
14,0.6225364804267883
15,0.30738983161554556
16,0.4751318395137787
17,0.566081440448761
18,0.4993908882141113
19,0.5087740302085877
20,0.5460438430309296
21,0.4431499481201172
22,0.5919043749570847
23,0.6561948239803315
24,0.5060894250869751
25,0.713944923877716
26,0.5245025634765625
27,0.5157395720481872
28,0.5286595284938812
29,0.6169925928115845
30,0.6070859670639038
31,0.5007854104042053
32,0.603669399023056
33,0.4501433253288269
34,0.5291643619537354
35,0.5982800543308258
36,0.6589847922325134
37,0.6135139226913452
38,0.6118428230285644
39,0.4794881947338581
40,0.5018226563930511
41,0.5945010781288147
42,0.696435958147049
43,0.5647781729698181
44,0.5409499794244766
45,0.6140863180160523
46,0.677757203578949
47,0.6633556187152863
48,0.5338101208209991
49,0.5790743887424469
50,0.6691037774085998
51,0.587692528963089
52,0.5670299768447876
53,0.6775347590446472
54,0.6634272694587707
55,0.6365630567073822
56,0.4142246425195064
57,0.7612586498260498
58,0.628540325164795
59,0.5744639992713928
60,0.6809280216693878
61,0.5860699951648712
62,0.6309610724449157
63,0.6086276888847351
64,0.6423241853713989
65,0.7016089022159576
66,0.708692753314972
67,0.5631518006324768
68,0.595187646150589
69,0.591798585653305
70,0.47247801125049593
71,0.549277925491333
72,0.47753840684890747
73,0.7132685899734497
74,0.7047119736671448
75,0.4598398685455322
76,0.6684489727020264
77,0.5695226490497589
78,0.7168176591396331
79,0.6636179447174072
80,0.6524937391281128
81,0.7009095191955567
82,0.6278196096420288
83,0.7328229308128357
84,0.5934767723083496
85,0.7308854222297668
86,0.6664547979831695
87,0.6241274416446686
88,0.6327021420001984
89,0.6114141285419464
90,0.5618948698043823
91,0.6386841535568237
92,0.6428825438022614
93,0.6842129707336426
94,0.7403027892112732
95,0.5498191446065903
96,0.6581120371818543
97,0.43115926459431647
98,0.7400009870529175
99,0.643102091550827
100,0.6068718165159226
